task_schema	source_commit	bundle_sha256	experiment_id	firms	workers	cells_per_worker	rows	probes	seed	order	requested_slots	stata_processors	matlab_pool_workers	mem_per_core_gib	hard_wall_seconds	sample_contract	target_contract	comparison_contract
PREP-BND-1-MATLAB-TASK-V1	5718ab59d5618ad2b1bd502fe04a5e199484147e	8083dcc871bbad44dba23a8ccab4500d3cea22206dc17c2534c1feb07eee552c	prep_bnd1_f64_p20_s104729_sm	64	2560	3	7680	20	104729	stata_matlab	4	4	4	14	7200	same_literal_rows_v1	uniform_stored_rows_v1	descriptive_jla_own_pcg_gate_v1
PREP-BND-1-MATLAB-TASK-V1	5718ab59d5618ad2b1bd502fe04a5e199484147e	8083dcc871bbad44dba23a8ccab4500d3cea22206dc17c2534c1feb07eee552c	prep_bnd1_f64_p20_s104729_ms	64	2560	3	7680	20	104729	matlab_stata	4	4	4	14	7200	same_literal_rows_v1	uniform_stored_rows_v1	descriptive_jla_own_pcg_gate_v1
PREP-BND-1-MATLAB-TASK-V1	5718ab59d5618ad2b1bd502fe04a5e199484147e	8083dcc871bbad44dba23a8ccab4500d3cea22206dc17c2534c1feb07eee552c	prep_bnd1_f64_p20_s8675309_sm	64	2560	3	7680	20	8675309	stata_matlab	4	4	4	14	7200	same_literal_rows_v1	uniform_stored_rows_v1	descriptive_jla_own_pcg_gate_v1
PREP-BND-1-MATLAB-TASK-V1	5718ab59d5618ad2b1bd502fe04a5e199484147e	8083dcc871bbad44dba23a8ccab4500d3cea22206dc17c2534c1feb07eee552c	prep_bnd1_f64_p20_s8675309_ms	64	2560	3	7680	20	8675309	matlab_stata	4	4	4	14	7200	same_literal_rows_v1	uniform_stored_rows_v1	descriptive_jla_own_pcg_gate_v1
PREP-BND-1-MATLAB-TASK-V1	5718ab59d5618ad2b1bd502fe04a5e199484147e	8083dcc871bbad44dba23a8ccab4500d3cea22206dc17c2534c1feb07eee552c	prep_bnd1_f64_p20_s20260819_sm	64	2560	3	7680	20	20260819	stata_matlab	4	4	4	14	7200	same_literal_rows_v1	uniform_stored_rows_v1	descriptive_jla_own_pcg_gate_v1
PREP-BND-1-MATLAB-TASK-V1	5718ab59d5618ad2b1bd502fe04a5e199484147e	8083dcc871bbad44dba23a8ccab4500d3cea22206dc17c2534c1feb07eee552c	prep_bnd1_f64_p20_s20260819_ms	64	2560	3	7680	20	20260819	matlab_stata	4	4	4	14	7200	same_literal_rows_v1	uniform_stored_rows_v1	descriptive_jla_own_pcg_gate_v1
PREP-BND-1-MATLAB-TASK-V1	5718ab59d5618ad2b1bd502fe04a5e199484147e	8083dcc871bbad44dba23a8ccab4500d3cea22206dc17c2534c1feb07eee552c	prep_bnd1_f256_p20_s104729_sm	256	10240	3	30720	20	104729	stata_matlab	4	4	4	14	7200	same_literal_rows_v1	uniform_stored_rows_v1	descriptive_jla_own_pcg_gate_v1
PREP-BND-1-MATLAB-TASK-V1	5718ab59d5618ad2b1bd502fe04a5e199484147e	8083dcc871bbad44dba23a8ccab4500d3cea22206dc17c2534c1feb07eee552c	prep_bnd1_f256_p20_s104729_ms	256	10240	3	30720	20	104729	matlab_stata	4	4	4	14	7200	same_literal_rows_v1	uniform_stored_rows_v1	descriptive_jla_own_pcg_gate_v1
PREP-BND-1-MATLAB-TASK-V1	5718ab59d5618ad2b1bd502fe04a5e199484147e	8083dcc871bbad44dba23a8ccab4500d3cea22206dc17c2534c1feb07eee552c	prep_bnd1_f256_p20_s8675309_sm	256	10240	3	30720	20	8675309	stata_matlab	4	4	4	14	7200	same_literal_rows_v1	uniform_stored_rows_v1	descriptive_jla_own_pcg_gate_v1
PREP-BND-1-MATLAB-TASK-V1	5718ab59d5618ad2b1bd502fe04a5e199484147e	8083dcc871bbad44dba23a8ccab4500d3cea22206dc17c2534c1feb07eee552c	prep_bnd1_f256_p20_s8675309_ms	256	10240	3	30720	20	8675309	matlab_stata	4	4	4	14	7200	same_literal_rows_v1	uniform_stored_rows_v1	descriptive_jla_own_pcg_gate_v1
PREP-BND-1-MATLAB-TASK-V1	5718ab59d5618ad2b1bd502fe04a5e199484147e	8083dcc871bbad44dba23a8ccab4500d3cea22206dc17c2534c1feb07eee552c	prep_bnd1_f256_p20_s20260819_sm	256	10240	3	30720	20	20260819	stata_matlab	4	4	4	14	7200	same_literal_rows_v1	uniform_stored_rows_v1	descriptive_jla_own_pcg_gate_v1
PREP-BND-1-MATLAB-TASK-V1	5718ab59d5618ad2b1bd502fe04a5e199484147e	8083dcc871bbad44dba23a8ccab4500d3cea22206dc17c2534c1feb07eee552c	prep_bnd1_f256_p20_s20260819_ms	256	10240	3	30720	20	20260819	matlab_stata	4	4	4	14	7200	same_literal_rows_v1	uniform_stored_rows_v1	descriptive_jla_own_pcg_gate_v1
PREP-BND-1-MATLAB-TASK-V1	5718ab59d5618ad2b1bd502fe04a5e199484147e	8083dcc871bbad44dba23a8ccab4500d3cea22206dc17c2534c1feb07eee552c	prep_bnd1_f1024_p20_s104729_sm	1024	40960	3	122880	20	104729	stata_matlab	4	4	4	14	7200	same_literal_rows_v1	uniform_stored_rows_v1	descriptive_jla_own_pcg_gate_v1
PREP-BND-1-MATLAB-TASK-V1	5718ab59d5618ad2b1bd502fe04a5e199484147e	8083dcc871bbad44dba23a8ccab4500d3cea22206dc17c2534c1feb07eee552c	prep_bnd1_f1024_p20_s104729_ms	1024	40960	3	122880	20	104729	matlab_stata	4	4	4	14	7200	same_literal_rows_v1	uniform_stored_rows_v1	descriptive_jla_own_pcg_gate_v1
PREP-BND-1-MATLAB-TASK-V1	5718ab59d5618ad2b1bd502fe04a5e199484147e	8083dcc871bbad44dba23a8ccab4500d3cea22206dc17c2534c1feb07eee552c	prep_bnd1_f1024_p20_s8675309_sm	1024	40960	3	122880	20	8675309	stata_matlab	4	4	4	14	7200	same_literal_rows_v1	uniform_stored_rows_v1	descriptive_jla_own_pcg_gate_v1
PREP-BND-1-MATLAB-TASK-V1	5718ab59d5618ad2b1bd502fe04a5e199484147e	8083dcc871bbad44dba23a8ccab4500d3cea22206dc17c2534c1feb07eee552c	prep_bnd1_f1024_p20_s8675309_ms	1024	40960	3	122880	20	8675309	matlab_stata	4	4	4	14	7200	same_literal_rows_v1	uniform_stored_rows_v1	descriptive_jla_own_pcg_gate_v1
PREP-BND-1-MATLAB-TASK-V1	5718ab59d5618ad2b1bd502fe04a5e199484147e	8083dcc871bbad44dba23a8ccab4500d3cea22206dc17c2534c1feb07eee552c	prep_bnd1_f1024_p20_s20260819_sm	1024	40960	3	122880	20	20260819	stata_matlab	4	4	4	14	7200	same_literal_rows_v1	uniform_stored_rows_v1	descriptive_jla_own_pcg_gate_v1
PREP-BND-1-MATLAB-TASK-V1	5718ab59d5618ad2b1bd502fe04a5e199484147e	8083dcc871bbad44dba23a8ccab4500d3cea22206dc17c2534c1feb07eee552c	prep_bnd1_f1024_p20_s20260819_ms	1024	40960	3	122880	20	20260819	matlab_stata	4	4	4	14	7200	same_literal_rows_v1	uniform_stored_rows_v1	descriptive_jla_own_pcg_gate_v1
PREP-BND-1-MATLAB-TASK-V1	5718ab59d5618ad2b1bd502fe04a5e199484147e	8083dcc871bbad44dba23a8ccab4500d3cea22206dc17c2534c1feb07eee552c	prep_bnd1_f256_p200_s104729_sm	256	10240	3	30720	200	104729	stata_matlab	4	4	4	14	7200	same_literal_rows_v1	uniform_stored_rows_v1	descriptive_jla_own_pcg_gate_v1
PREP-BND-1-MATLAB-TASK-V1	5718ab59d5618ad2b1bd502fe04a5e199484147e	8083dcc871bbad44dba23a8ccab4500d3cea22206dc17c2534c1feb07eee552c	prep_bnd1_f256_p200_s104729_ms	256	10240	3	30720	200	104729	matlab_stata	4	4	4	14	7200	same_literal_rows_v1	uniform_stored_rows_v1	descriptive_jla_own_pcg_gate_v1
PREP-BND-1-MATLAB-TASK-V1	5718ab59d5618ad2b1bd502fe04a5e199484147e	8083dcc871bbad44dba23a8ccab4500d3cea22206dc17c2534c1feb07eee552c	prep_bnd1_f256_p200_s8675309_sm	256	10240	3	30720	200	8675309	stata_matlab	4	4	4	14	7200	same_literal_rows_v1	uniform_stored_rows_v1	descriptive_jla_own_pcg_gate_v1
PREP-BND-1-MATLAB-TASK-V1	5718ab59d5618ad2b1bd502fe04a5e199484147e	8083dcc871bbad44dba23a8ccab4500d3cea22206dc17c2534c1feb07eee552c	prep_bnd1_f256_p200_s8675309_ms	256	10240	3	30720	200	8675309	matlab_stata	4	4	4	14	7200	same_literal_rows_v1	uniform_stored_rows_v1	descriptive_jla_own_pcg_gate_v1
