kind,seed,row,col,value
projection_b,,,_cons,-1.86963455034953019e+00
projection_V,,_cons,_cons,1.41905070081804266e-02
projection_V_naive,,_cons,_cons,1.07868810002533164e-02
projection_V,,_cons,z1,1.52196794859912302e-03
projection_V_naive,,_cons,z1,7.19238716146909868e-04
projection_V,,_cons,z2,-2.00215608155145325e-03
projection_V_naive,,_cons,z2,-1.21277854405215323e-03
projection_b,,,z1,-1.42097411267980145e-01
projection_V,,z1,_cons,1.52196794859912323e-03
projection_V_naive,,z1,_cons,7.19238716146909868e-04
projection_V,,z1,z1,4.44228986601639432e-04
projection_V_naive,,z1,z1,2.32432965814985523e-04
projection_V,,z1,z2,-4.70437883567807985e-04
projection_V_naive,,z1,z2,-1.95857563356325475e-04
projection_b,,,z2,-1.38262856405395235e-01
projection_V,,z2,_cons,-2.00215608155145412e-03
projection_V_naive,,z2,_cons,-1.21277854405215345e-03
projection_V,,z2,z1,-4.70437883567807931e-04
projection_V_naive,,z2,z1,-1.95857563356325448e-04
projection_V,,z2,z2,1.85714243252048557e-03
projection_V_naive,,z2,z2,1.35846599827710085e-03
lincom_b,,,z1,-1.42097411282417568e-01
lincom_se,,,z1,2.10767478128353336e-02
lincom_t,,,z1,-6.74190404251470810e+00
lincom_b,,,z2,-1.38262856401374840e-01
lincom_se,,,z2,4.30945799723668199e-02
lincom_t,,,z2,-3.20835837105343602e+00
component_b,101,,worker_variance,1.03184234023324195e+00
component_se,101,,worker_variance,4.33593833199766437e-02
component_b,101,,firm_variance,5.29841318305527831e-01
component_se,101,,firm_variance,2.34568527035787129e-02
component_b,101,,worker_firm_covariance,-4.45642426373843090e-02
component_se,101,,worker_firm_covariance,2.71776519662771977e-02
component_b,202,,worker_variance,1.03184234023324195e+00
component_se,202,,worker_variance,4.29435716569362760e-02
component_b,202,,firm_variance,5.29841318305527831e-01
component_se,202,,firm_variance,2.34281322058306207e-02
component_b,202,,worker_firm_covariance,-4.45642426373843090e-02
component_se,202,,worker_firm_covariance,2.72131661444326919e-02
component_b,303,,worker_variance,1.03184234023324195e+00
component_se,303,,worker_variance,4.30814969803012537e-02
component_b,303,,firm_variance,5.29841318305527831e-01
component_se,303,,firm_variance,2.29674300495814367e-02
component_b,303,,worker_firm_covariance,-4.45642426373843090e-02
component_se,303,,worker_firm_covariance,2.74370043504857004e-02
component_b,404,,worker_variance,1.03184234023324195e+00
component_se,404,,worker_variance,4.32892699914758372e-02
component_b,404,,firm_variance,5.29841318305527831e-01
component_se,404,,firm_variance,2.32644690281841558e-02
component_b,404,,worker_firm_covariance,-4.45642426373843090e-02
component_se,404,,worker_firm_covariance,2.68401485082943661e-02
component_b,505,,worker_variance,1.03184234023324195e+00
component_se,505,,worker_variance,4.29057321003025668e-02
component_b,505,,firm_variance,5.29841318305527831e-01
component_se,505,,firm_variance,2.32716301844114494e-02
component_b,505,,worker_firm_covariance,-4.45642426373843090e-02
component_se,505,,worker_firm_covariance,2.72754772816319914e-02
