kind,seed,row,col,value
component_b,101,,worker_variance, 1.03079016435448767e+00
component_V,101,worker_variance,worker_variance, 1.23055646940267195e-03
component_V,101,worker_variance,firm_variance, 3.92822007924571671e-04
component_V,101,worker_variance,worker_firm_covariance,-7.20979352304451301e-04
component_V,101,worker_variance,total_variance, 1.81419772718341074e-04
component_b,101,,firm_variance, 5.29295236124290303e-01
component_V,101,firm_variance,worker_variance, 3.92822007924571671e-04
component_V,101,firm_variance,firm_variance, 8.46987806147980510e-04
component_V,101,firm_variance,worker_firm_covariance,-5.72958731557246786e-04
component_V,101,firm_variance,total_variance, 9.38923509580585555e-05
component_b,101,,worker_firm_covariance,-4.45046300341178647e-02
component_V,101,worker_firm_covariance,worker_variance,-7.20979352304451301e-04
component_V,101,worker_firm_covariance,firm_variance,-5.72958731557246786e-04
component_V,101,worker_firm_covariance,worker_firm_covariance, 6.42155324617770646e-04
component_V,101,worker_firm_covariance,total_variance,-9.62743462615679550e-06
component_b,101,,total_variance, 1.47107614041054235e+00
component_V,101,total_variance,worker_variance, 1.81419772718341074e-04
component_V,101,total_variance,firm_variance, 9.38923509580585555e-05
component_V,101,total_variance,worker_firm_covariance,-9.62743462615679550e-06
component_V,101,total_variance,total_variance, 2.56057254424086039e-04
projection_b,101,,_cons,-1.86963455034945092e+00
projection_V,101,_cons,_cons, 1.41905070081841302e-02
projection_V_naive,101,_cons,_cons, 1.07868810002532279e-02
projection_V,101,_cons,z1, 1.52196794859931948e-03
projection_V_naive,101,_cons,z1, 7.19238716146854140e-04
projection_V,101,_cons,z2,-2.00215608155020989e-03
projection_V_naive,101,_cons,z2,-1.21277854405204416e-03
projection_b,101,,z1,-1.42097411267990192e-01
projection_V,101,z1,_cons, 1.52196794859931948e-03
projection_V_naive,101,z1,_cons, 7.19238716146854140e-04
projection_V,101,z1,z1, 4.44228986601726819e-04
projection_V_naive,101,z1,z1, 2.32432965814988423e-04
projection_V,101,z1,z2,-4.70437883567645626e-04
projection_V_naive,101,z1,z2,-1.95857563356306285e-04
