job_id	case	order	result_relpath	scheduler_log	expected_slots	repetitions
7236738	F256-P256	ab	F256-P256-ab	pbf_256_ab.o7236738	4	3
7236739	F256-P256	ba	F256-P256-ba	pbf_256_ba.o7236739	4	3
7236740	F1024-P256	ab	F1024-P256-ab	pbf_1024_ab.o7236740	4	3
7236741	F1024-P256	ba	F1024-P256-ba	pbf_1024_ba.o7236741	4	3
7236974	F4096-P256	ab	F4096-P256-ab	pbf_4096_ab.o7236974	4	3
7236970	F4096-P256	ba	F4096-P256-ba	pbf_4096_ba.o7236970	4	3
7237620	F8192-P256	ab	F8192-P256-ab	pbf_8192_ab_retry1.txt	4	3
7236969	F8192-P256	ba	F8192-P256-ba	pbf_8192_ba.o7236969	4	3
7236972	CZ18-P20	ab	CZ18-P20-ab	pbf_cz18_ab.o7236972	14	3
7236973	CZ18-P20	ba	CZ18-P20-ba	pbf_cz18_ba.o7236973	14	3
